NCO|documentStart|2020-12-03|10:55:12|user01|End
NCO|documentCheck|principleID|NDI|End
NCO|documentCheck|distributorID|B0006|End
NCO|documentCheck|distributorName|PT. BERKAH RAYA|End
NCO|documentCheck|branchName|TANGERANG|End
NCO|documentCheck|fromDate|2020-07-19|End
NCO|documentCheck|thruDate|2020-07-22|End
NCO|documentCheck|version|A01.30.00|End
NCO|documentCheck|productmasterversion||End
NCO|documentCheck|gromartMerchantID||End
NCO|documentCheck|companyID|NS6083010001517|End
NCO|documentCheck|branchID|1522203109974|End
NCO|documentCheck|nd6closeddate|2020-07-21|End
NCO|distributorproduct|attribute|productCode|principalProductCode|productName|productPackaging|uom1|uom2|uom3|uom4|conversion1to4|conversion2to4|conversion3to4|productStatus|buyingPrice|sellingPrice|nexchiefRatio|divisonID|vendorID|End
NCO|distributorproduct|value|MXD420|MXD420|Cocoa Cookies 12 TOP|12x275Gr|krt|jar|pcs|PCS|12|1|1|A|60479.0|68727.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD422|HAT-CCN-6|Coconut Biskuit 6 Tin|6 x 325 |krt|tin|tin|PCS|6|1|1|A|85600.0|97273.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD329|MXD329|CocoPuff|6 x  6 x 270|krt|bag|pcs|PCS|36|6|1|A|102232.0|115909.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD329PR|MXD329PR|Cocopuff Promo|6 X  6 X 270|KRT|BOX|PCS|PCS|36|6|1|A|102029.0|115909.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD212|CO-SCHO-20|D Shortcake Chocolate|4 x 5 x 20|krt|bag|pcs|PCS|20|5|1|A|68555.0|77727.27|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD211|CO-SSTW-20|D Shortcake Strowbery|4 X 5 x 20|krt|bag|pcs|PCS|20|5|1|A|68555.0|77727.27|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD426|CO-BCHO-8P|D.Black cokies choclate|8 x 20 x 16|krt|bag|pcs|PCS|160|20|1|A|55325.45|62727.27|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD427|CO-BVNL-8P|D.Black cokies vanilla|8 x 20 x 16|krt|bag|pcs|PCS|160|20|1|A|55325.45|62727.27|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD216|CO-NCH-24|Delux  Nutchips Cookies 85 GR|4 X 6 X 85|KRT|BAG|PCS|PCS|24|6|1|A|68956.36|78181.82|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD417|DLX-ASB-6|Delux Assorted Biscuit 6|6 x 600|krt|tin|tin|PCS|6|1|1|A|230000.0|261364.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD437|DLX-ASCO-6|Delux Asst Cookies Choco|6 x 350|krt|pcs|pcs|PCS|6|1|1|A|93600.0|106363.64|1.0|1522217674091|001|End
